id;region;municipality;settlement;type;latitude_dd;longitude_dd
3473;Новосибирская область;Доволенский район;Согорное;с;5429;7995
3474;Кемеровская область;Тисульский район;Вознесенка;д;5576;8871
3475;Кемеровская область;Таштагольский район;Килинск;п;5252;8779
3476;Красноярский край;Емельяновский район;Таскино;д;5631;9296
3477;Алтайский край;Родинский;Каяушка;с;5249;8045
3478;Иркутская область;Заларинский район;Романенкина;д;5339;10235
3479;Алтайский край;Родинский;Зеленая Дубрава;п;5248;8058
3480;Новосибирская область;Искитимский район;Таскаево;д;5450;8322
3481;Иркутская область;Иркутский район;Первомайский;п;5225;10447
3482;Кемеровская область;Мариинский район;Николаевка 2-я;с;5628;8808
3483;Томская область;Молчановский район;Майково;д;5763;8363
3484;Омская область;Таврический район;Лобково;д;5470;7356
3485;Омская область;Любинский район;Политотдел;п;5521;7315
3486;Красноярский край;Емельяновский район;Сухая Балка;п;5613;9290
3487;Иркутская область;Тулунский район;Изегол;д;5431;10011
3488;Алтайский край;Кулундинский;Златополь;с;5262;7926
3489;Омская область;Тарский район;Гриневичи;д;5730;7430
3490;Кемеровская область;Юргинский;Белянино;д;5553;8525
3491;Алтайский край;Алтайский;Куяча;с;5167;8508
3492;Новосибирская область;Ордынский район;Новокузьминка;с;5413;8116
3493;Омская область;Знаменский район;Киселево;д;5711;7390
3494;Алтайский край;Чарышский;Тулата;с;5131;8342
3495;Новосибирская область;Чановский район;Оравка;д;5544;7654
3496;Новосибирская область;Новосибирский район;Береговое;с;5465;8250
3497;Иркутская область;Куйтунский район;Мингатуй;с;5473;10155
3498;Новосибирская область;Карасукский район;Новая Курья;д;5384;7840
3499;Алтайский край;Бурлинский;Партизанское;с;5334;7835
3500;Томская область;Томский район;Басандайка;п;5628;8549
3501;Республика Хакасия;Боградский район;Толчея;д;5405;9107
3502;Новосибирская область;Кыштовский район;Большеречье;с;5656;7622
3503;Красноярский край;Дзержинский район;Чурюково;д;5663;9506
3504;Красноярский край;Туруханский район;Сандакчес;п;6129;8850
3505;Алтайский край;Солтонский;Карабинка;с;5268;8624
3506;Кемеровская область;Ижморский район;Ижморка 2-я;с;5615;8663
3507;Кемеровская область;Яйский район;Турат;п;5608;8617
3508;Иркутская область;Балаганский район;Тарасовск;д;5437;10291
3509;Красноярский край;Краснотуранский район;Новоивановка;с;5405;9204
3510;Алтайский край;Красногорский;Макарьевское;с;5255;8645
3511;Омская область;Усть-Ишимский район;Скородум;п;5779;7092
3512;Красноярский край;Енисейский район;Никулино;д;6040;9007
3513;Алтайский край;Топчихинский;Красноярка;с;5275;8346
3514;Республика Тыва;Каа-Хемский кожуун;Суг-Бажы;с;5165;9485
3515;Иркутская область;Жигаловский район;Чикан;с;5490;10565
3516;Иркутская область;Усть-Кутский район;Усть-Кут;г;5679;10577
3517;Иркутская область;Зиминский район;Масляногорск;с;5356;10168
3518;Алтайский край;Новичихинский;Петровский;п;5225;8162
3519;Иркутская область;Нижнеудинский район;Водопадный;п;5504;9903
3520;Омская область;Кормиловский район;Веселый Привал;д;5488;7438
3521;Иркутская область;Нижнеилимский район;Новоилимск;п;5729;10368
3522;Иркутская область;Осинский район;Приморский;п;5358;10372
3523;Омская область;Крутинский район;Усть-Китерма;д;5607;7167
3524;Алтайский край;Заринский;Озерное;с;5367;8520
3525;Кемеровская область;Тяжинский район;Кубитет;с;5594;8913
3526;Кемеровская область;Беловский;Каралда;д;5439;8698
3527;Новосибирская область;Татарский район;Платоновка;д;5515;7542
3528;Красноярский край;Канский район;Алега;д;5642;9510
3529;Республика Тыва;Пий-Хемский кожуун;Хадын;с;5195;9362
3530;Омская область;Любинский район;Шандровка;д;5520;7244
3531;Новосибирская область;Тогучинский район;Кучаниха;п;5507;8485
3532;Новосибирская область;Кыштовский район;Кыштовка;с;5656;7662
3533;Красноярский край;Ужурский район;Андроново;д;5555;9003
3534;Омская область;Омский район;Нижняя Ильинка;д;5537;7323
3535;Томская область;Кожевниковский район;Аптала;д;5617;8321
3536;Томская область;Чаинский район;Лось-Гора;с;5752;8227
3537;Алтайский край;Шипуновский;Баталово;с;5221;8186
3538;Алтайский край;Славгород;Павловка;с;5294;7838
3539;Республика Хакасия;Ширинский район;Целинное;с;5457;8991
3540;Кемеровская область;Промышленновский район;Абышево;с;5506;8499
3541;Красноярский край;Тюхтетский район;Ларневка;д;5652;8948
3542;Омская область;Нижнеомский район;Новотроицк;с;5579;7507
3543;Алтайский край;Бурлинский;Устьянка;с;5344;7873
3544;Иркутская область;Тулунский район;Казакова;д;5452;10055
3545;Алтайский край;Локтевский;Золотуха;с;5081;8152
3546;Алтайский край;Павловский;Прутской;п;5331;8323
3547;Алтайский край;Алейский;Большепанюшево;с;5251;8286
3548;Иркутская область;Усольский район;Тальяны;п;5219;10326
3549;Новосибирская область;Венгеровский район;Малинино;д;5555;7628
3550;Новосибирская область;Мошковский район;Новый Порос;с;5531;8344
3551;Томская область;Томский район;Лаврово;д;5643;8442
3552;Омская область;Оконешниковский район;Стрельниково;д;5474;7498
3553;Алтайский край;Новичихинский;Мельниково;с;5220;8121
3554;Красноярский край;Боготольский район;Большая Косуль;с;5613;8935
3555;Омская область;Полтавский район;Смелое;д;5449;7141
3556;Красноярский край;Богучанский район;Малеево;д;5743;9753
3557;Иркутская область;Боханский район;Нововоскресенка;д;5315;10402
3558;Республика Алтай;Чемальский район;Элекмонар;с;5145;8599
3559;Красноярский край;Рыбинский район;Двуречное;с;5570;9476
3560;Новосибирская область;Купинский район;Аполиха;д;5407;7718
3561;Новосибирская область;Искитимский район;Завьялово;с;5450;8244
3562;Иркутская область;Иркутский район;Столбова;д;5242;10422
3563;Красноярский край;Ужурский район;Большой Имыш;д;5513;9062
3564;Омская область;Любинский район;Новокиевка;с;5526;7245
3565;Красноярский край;Саянский район;Кулижниково;с;5527;9468
3566;Новосибирская область;Маслянинский район;Прямское;д;5431;8385
3567;Республика Алтай;Чойский район;Сёйка;с;5188;8673
3568;Алтайский край;Советский;Шульгин Лог;с;5216;8585
3569;Иркутская область;Черемховский район;Худорожкина;д;5296;10323
3570;Алтайский край;Шелаболихинский;Ивановка;с;5337;8217
3571;Красноярский край;Саянский район;Малиновка;с;5512;9476
3572;Кемеровская область;Кемеровский;Елыкаево;с;5530;8625
3573;Красноярский край;Дзержинский район;Ашпатск;д;5668;9554
3574;Новосибирская область;Купинский район;Благовещенка;д;5392;7694
3575;Омская область;Муромцевский район;Плотбище;д;5637;7547
3576;Республика Алтай;Усть-Коксинский район;Тюгурюк;п;5030;8540
3577;Республика Тыва;Чаа-Хольский кожуун;Шанчы;с;5160;9196
3578;Омская область;Павлоградский район;Тихвинка;с;5436;7383
3579;Алтайский край;Алейский;Первомайский;п;5249;8262
3580;Новосибирская область;Усть-Таркский район;Яркуль;с;5599;7567
3581;Красноярский край;Ирбейский район;Альгинка;д;5549;9543
3582;Иркутская область;Нижнеилимский район;Чистополянский;п;5638;10311
3583;Новосибирская область;Здвинский район;Цветники;с;5470;7875
3584;Иркутская область;Иркутский район;Малое Голоустное;с;5229;10532
3585;Иркутская область;Черемховский район;Малиновка;д;5321;10287
3586;Новосибирская область;Болотнинский район;Новая Чебула;д;5555;8406
3587;Омская область;Одесский район;Белосток;с;5416;7278
3588;Кемеровская область;Кемеровский;Березово;с;5523;8624
3589;Новосибирская область;Болотнинский район;Витебск;д;5573;8435
3590;Алтайский край;Тогульский;Новоиушино;с;5362;8581
3591;Республика Алтай;Турочакский район;Тулой;с;5200;8712
3592;Омская область;Колосовский район;Чапаево;с;5622;7395
3593;Кемеровская область;Мариинский район;Красные Орлы;с;5617;8723
3594;Алтайский край;Советский;Сосновка;с;5243;8535
3595;Красноярский край;Нижнеингашский район;Бельняки;п;5624;9724
3596;Новосибирская область;Чановский район;Сарыбалык;д;5526;7665
3597;Иркутская область;Киренский район;Никулина;д;5798;10859
3598;Новосибирская область;Краснозерский район;Голубинский;п;5370;7927
3599;Алтайский край;Угловский;Валовой Кордон;с;5177;8036
3600;Красноярский край;Канский район;Петрушки;д;5612;9522
3601;Омская область;Большереченский район;Такмык;с;5624;7467
3602;Новосибирская область;Искитимский район;Михайловка;д;5443;8309
3603;Красноярский край;Емельяновский район;Гаревое;п;5664;9264
3604;Красноярский край;Туруханский район;Фарково;с;6571;8698
3605;Кемеровская область;Киселёвский;Киселевск;г;5400;8663
3606;Омская область;Горьковский район;Ударный;п;5518;7423
3607;Красноярский край;Нижнеингашский район;Эстония;д;5639;9649
3608;Иркутская область;Слюдянский район;Утулик;п;5154;10405
3609;Омская область;Марьяновский район;Шереметьевка;д;5484;7255
3610;Томская область;Парабельский район;Вялово;д;5871;8145
3611;Алтайский край;Заринский;Среднекрасилово;с;5379;8460
3612;Республика Алтай;Чойский район;Паспаул;с;5194;8633
3613;Омская область;Знаменский район;Бутаково;с;5705;7408
3614;Омская область;Омский район;Усть-Заостровка;с;5476;7360
3615;Алтайский край;Алтайский;Пролетарка;с;5179;8536
3616;Новосибирская область;Кыштовский район;Колбаса;д;5688;7669
3617;Омская область;Тарский район;Пологрудово;с;5711;7415
3618;Кемеровская область;Чебулинский район;Карачарово;д;5574;8769
3619;Республика Тыва;Сут-Хольский кожуун;Кара-Чыраа;с;5141;9131
3620;Новосибирская область;Новосибирский район;Приобский;п;5507;8276
3621;Алтайский край;Крутихинский;Радостный;п;5394;8109
3622;Омская область;Любинский район;Беляевка;д;5523;7271
3623;Алтайский край;Мамонтовский;Островное;с;5268;8171
3624;Красноярский край;Абанский район;Турово;с;5665;9641
3625;Иркутская область;Усть-Удинский район;Чичкова;д;5418;10370
3626;Новосибирская область;Карасукский район;Калачи;с;5358;7787
3627;Томская область;Томский район;Кисловка;д;5641;8487
3628;Омская область;Павлоградский район;Назаровка;д;5416;7343
3629;Красноярский край;Назаровский район;Верхняя Березовка;д;5568;9028
3630;Республика Алтай;Чемальский район;Куюс;с;5102;8623
3631;Новосибирская область;Новосибирский район;Издревая;д;5498;8324
3632;Иркутская область;Черемховский район;Русская Аларь;д;5294;10276
3633;Омская область;Павлоградский район;Константиноградка;д;5419;7384
3634;Иркутская область;Братский район;Карахун;п;5558;10316
3635;Новосибирская область;Мошковский район;Участок Балта;с;5542;8394
3636;Красноярский край;Рыбинский район;Гмирянка;с;5600;9487
3637;Иркутская область;Черемховский район;Балухарь;д;5323;10324
3638;Омская область;Кормиловский район;Сыропятское;с;5504;7387
3639;Иркутская область;Усть-Илимск;Усть-Илимск;г;5794;10274
3640;Алтайский край;Тальменский;Таскаево;с;5385;8368
3641;Кемеровская область;Новокузнецкий;Баевка;п;5372;8741
3642;Иркутская область;Жигаловский район;Дальняя Закора;с;5465;10474
3643;Иркутская область;Куйтунский район;Алкин;с;5448;10144
3644;Алтайский край;Поспелихинский;Поспелиха;с;5198;8182
3645;Иркутская область;Тулунский район;Центральные Мастерские;п;5459;10052
3646;Томская область;Томск;Томск;г;5648;8495
3647;Красноярский край;Емельяновский район;Зеледеево;п;5607;9197
3648;Красноярский край;Боготольский район;Дмитриевка;д;5638;8991
3649;Новосибирская область;Новосибирский район;Сосновка;п;5523;8294
3650;Кемеровская область;Топкинский район;Шишино;п;5536;8522
3651;Новосибирская область;Искитимский район;Преображенка;с;5436;8272
3652;Алтайский край;Кытмановский;Тягун;с;5347;8547
3653;Красноярский край;Енисейский район;Маковское;с;5818;9087
3654;Омская область;Калачинский район;Кибер-Спасское;д;5520;7451
3655;Омская область;Крутинский район;Яман;с;5604;7139
3656;Алтайский край;Алейский;Савинка;с;5264;8261
3657;Омская область;Горьковский район;Чучкино;д;5541;7363
3658;Омская область;Павлоградский район;Белоусовка;д;5404;7353
3659;Алтайский край;Шипуновский;Белоглазово;с;5211;8256
3660;Красноярский край;Манский район;Колбинский;п;5516;9351
3661;Омская область;Любинский район;Алексеевский;п;5532;7200
3662;Новосибирская область;Венгеровский район;Усть-Ламенка;с;5567;7728
3663;Иркутская область;Эхирит-Булагатский район;Тимошинск;д;5327;10495
3664;Иркутская область;Качугский район;Большие Голы;д;5387;10600
3665;Красноярский край;Сухобузимский район;Карымская;д;5633;9328
3666;Кемеровская область;Прокопьевский;Малая Талда;д;5412;8708
3667;Иркутская область;Боханский район;Хоргелок;д;5313;10414
3668;Алтайский край;Павловский;Чернопятово;с;5339;8317
3669;Новосибирская область;Чистоозёрный район;Орловка;д;5447;7666
3670;Республика Алтай;Майминский район;Кызыл-Озек;с;5189;8599
3671;Красноярский край;Канский район;Леонтьевка;д;5645;9542
3672;Томская область;Асиновский район;Больше-Дорохово;с;5689;8620
3673;Томская область;Шегарский район;Победа;п;5653;8417
3674;Алтайский край;Топчихинский;Хабазино;с;5274;8337
3675;Алтайский край;Кулундинский;Новопетровка;с;5253;7891
3676;Республика Хакасия;Бейский район;Куйбышево;с;5319;9077
3677;Красноярский край;Пировский район;Коврига;д;5761;9197
3678;Томская область;Парабельский район;Малое Нестерово;д;5866;8157
3679;Омская область;Любинский район;Канаковка;д;5531;7252
3680;Республика Тыва;Тоджинский кожуун;Ий;с;5256;9603
3681;Новосибирская область;Купинский район;Красный Кут;д;5424;7785
3682;Омская область;Оконешниковский район;Костяковка;д;5470;7507
3683;Иркутская область;Усолье-Сибирское;Усолье-Сибирское;г;5275;10363
3684;Томская область;Чаинский район;Сухой Лог;с;5769;8282
3685;Томская область;Каргасокский район;Неготка;п;5972;8064
3686;Красноярский край;Манский район;Новоникольск;д;5578;9361
3687;Алтайский край;Барнаул;Черницк;п;5321;8355
3688;Новосибирская область;Маслянинский район;Александровка;д;5443;8436
3689;Томская область;Томский район;Позднеево;д;5641;8507
3690;Иркутская область;Тулунский район;Усть-Кульск;с;5488;10057
3691;Новосибирская область;Чулымский район;Кабинетное;с;5509;8129
3692;Кемеровская область;Топкинский район;Катково;д;5514;8506
3693;Алтайский край;Солтонский;Ненинка;с;5267;8619
3694;Республика Хакасия;Бейский район;Сабинка;с;5308;9117
3695;Красноярский край;Дивногорск;Дивногорск;г;5595;9238
3696;Иркутская область;Зиминский район;Басалаевка;с;5378;10154
3697;Томская область;Томский район;Новорождественское;с;5648;8600
3698;Красноярский край;Рыбинский район;Заозерный;г;5596;9470
3699;Республика Тыва;Монгун-Тайгинский кожуун;Тоолайлыг;с;5053;9065
3700;Омская область;Большереченский район;Черналы;д;5632;7417
3701;Алтайский край;Алейский;Боровское;с;5264;8216
3702;Новосибирская область;Чулымский район;Кокошино;с;5515;8062
3703;Красноярский край;Туруханский район;Туруханск;с;6579;8795
3704;Алтайский край;Зональный;Зональное;с;5266;8493
3705;Красноярский край;Эвенкийский район;Учами;п;6381;9643
3706;Кемеровская область;Топкинский район;Малый Корчуган;д;5523;8557
3707;Республика Тыва;Чеди-Хольский кожуун;Холчук;с;5107;9327
3708;Иркутская область;Усольский район;Большая Елань;с;5256;10366
3709;Иркутская область;Иркутский район;Никола;п;5189;10482
3710;Алтайский край;Павловский;Сибирские Огни;п;5330;8303
3711;Томская область;Кожевниковский район;Чилино;с;5583;8353
3712;Красноярский край;Иланский район;Милехино;д;5622;9603
3713;Томская область;Первомайский район;Сахалинка;д;5727;8611
3714;Кемеровская область;Новокузнецкий;Ильинка;с;5390;8716
3715;Томская область;Парабельский район;Парабель;с;5870;8148
3716;Омская область;Любинский район;16 Партсъезд;д;5509;7287
3717;Кемеровская область;Промышленновский район;Денисовка;д;5495;8500
3718;Новосибирская область;Карасукский район;Нестеровка;д;5378;7852
3719;Красноярский край;Эвенкийский район;Ессей;п;6846;10218
3720;Красноярский край;Бирилюсский район;Старая Еловка;д;5689;9066
3721;Красноярский край;Боготольский район;Орга;п;5615;8977
3722;Омская область;Омский район;Зеленое Поле;д;5492;7320
3723;Алтайский край;Барнаул;Березовка;п;5338;8340
3724;Новосибирская область;Кочковский район;Красная Сибирь;с;5431;8048
3725;Кемеровская область;Промышленновский район;Ушаково;д;5493;8585
3726;Красноярский край;Уярский район;Каменно-Горновка;д;5588;9418
3727;Алтайский край;Косихинский;Контошино;с;5321;8442
3728;Новосибирская область;Коченёвский район;Малореченка;п;5484;8200
3729;Алтайский край;Бийский;Малоугренево;с;5255;8534
3730;Омская область;Крутинский район;Гуляй-Поле;д;5626;7094
3731;Омская область;Павлоградский район;Логиновка;с;5427;7373
3732;Алтайский край;Немецкий национальный;Орлово;с;5331;7923
3733;Иркутская область;Боханский район;Олонки;с;5290;10370
3734;Иркутская область;Братский район;Харанжино;п;5539;10189
3735;Новосибирская область;Усть-Таркский район;Яркуль-Матюшкино;с;5584;7610
3736;Омская область;Исилькульский район;Медвежье;с;5518;7129
3737;Омская область;Усть-Ишимский район;Аксеново;п;5768;7151
3738;Томская область;Молчановский район;Гришино;с;5753;8361
3739;Новосибирская область;Маслянинский район;Егорьевское;с;5450;8458
3740;Республика Тыва;Тоджинский кожуун;Сыстыг-Хем;с;5266;9550
3741;Омская область;Большереченский район;Могильно-Посельское;с;5592;7445
3742;Красноярский край;Манский район;Малая Камарчага;д;5579;9372
3743;Иркутская область;Заларинский район;Красное Поле;д;5361;10257
3744;Красноярский край;Норильск;Норильск;г;6934;8820
3745;Республика Тыва;Эрзинский кожуун;Эрзин;с;5026;9516
3746;Новосибирская область;Тогучинский район;Гаревка;д;5511;8454
3747;Красноярский край;Козульский район;Можарский;п;5619;9165
3748;Республика Тыва;Тоджинский кожуун;Адыр-Кежиг;с;5244;9624
3749;Республика Алтай;Улаганский район;Паспарта;с;5083;8788
3750;Иркутская область;Шелеховский район;Шаманка;с;5207;10382
3751;Иркутская область;Боханский район;Крюкова;д;5332;10352
3752;Новосибирская область;Новосибирский район;Криводановка;с;5508;8266
3753;Кемеровская область;Крапивинский район;Барачаты;с;5497;8619
3754;Иркутская область;Аларский район;Иванова;д;5331;10275
3755;Новосибирская область;Северный район;Биаза;с;5659;7829
3756;Красноярский край;Красноярск;Красноярск;г;5601;9285
3757;Красноярский край;Абанский район;Петропавловка;с;5661;9621
3758;Томская область;Томский район;Белоусово;д;5630;8518
3759;Иркутская область;Тулун;Тулун;г;5455;10057
3760;Томская область;Бакчарский район;Пчёлка;д;5722;8191
3761;Красноярский край;Манский район;Сугристое;д;5557;9385
3762;Красноярский край;Емельяновский район;Арей;п;5623;9284
3763;Красноярский край;Нижнеингашский район;Старая Пойма;д;5618;9664
3764;Томская область;Колпашевский район;Большая Саровка;п;5810;8324
3765;Омская область;Черлакский район;Золотухино;д;5443;7479
3766;Алтайский край;Немецкий национальный;Кусак;с;5322;7893
3767;Новосибирская область;Доволенский район;Довольное;с;5449;7966
3768;Алтайский край;Рубцовский;Новониколаевка;с;5135;8147
3769;Красноярский край;Рыбинский район;Новая;д;5587;9479
3770;Омская область;Муромцевский район;Окунево;д;5644;7490
3771;Республика Тыва;Тес-Хемский кожуун;Шуурмак;с;5065;9532
3772;Иркутская область;Тулунский район;Икейский;п;5420;10009
3773;Омская область;Нововаршавский район;Нетесово;д;5423;7440
3774;Новосибирская область;Черепановский район;Карасево;с;5417;8299
3775;Республика Алтай;Усть-Коксинский район;Горбуново;с;5022;8583
3776;Томская область;Кожевниковский район;Хмелёвка;с;5628;8332
3777;Омская область;Оконешниковский район;Куломзино;с;5483;7546
3778;Кемеровская область;Чебулинский район;Михайловка;д;5590;8789
3779;Кемеровская область;Ижморский район;Почитанка;с;5628;8669
3780;Красноярский край;Шушенский район;Шунеры;с;5312;9159
3781;Алтайский край;Шипуновский;Шипуново;с;5222;8225
3782;Иркутская область;Слюдянский район;Байкальск;г;5152;10414
3783;Алтайский край;Третьяковский;Садовый;п;5098;8192
3784;Красноярский край;Богучанский район;Нижнетерянск;п;5850;9615
3785;Алтайский край;Первомайский;Рогуличный;п;5365;8376
3786;Алтайский край;Калманский;Шилово;с;5292;8325
3787;Омская область;Азовский немецкий национальный район;Азово;с;5470;7302
3788;Томская область;Шегарский район;Монастырка;с;5694;8372
3789;Омская область;Омский район;Покровка;с;5537;7344
3790;Кемеровская область;Тисульский район;Куликовка;с;5579;8812
3791;Новосибирская область;Ордынский район;Сушиха;д;5437;8169
3792;Кемеровская область;Топкинский район;Соломино;д;5530;8550
3793;Красноярский край;Ужурский район;Михайловка;с;5558;8990
3794;Иркутская область;Аларский район;Маниловская;д;5349;10272
3795;Красноярский край;Ужурский район;Камышта;д;5505;8967
3796;Республика Хакасия;Орджоникидзевский район;Июс;с;5470;8976
3797;Алтайский край;Шелаболихинский;Омутское;с;5348;8222
3798;Алтайский край;ЗАТО пгт Сибирский;ЗАТО Сибирский;п;5355;8383
3799;Томская область;Чаинский район;Трудовой;п;5781;8264
3800;Новосибирская область;Чистоозёрный район;Польяново;с;5456;7590
3801;Республика Тыва;Овюрский кожуун;Саглы;с;5049;9133
3802;Новосибирская область;Доволенский район;Дружный;п;5443;7909
3803;Красноярский край;Балахтинский район;Черемушки;п;5518;9219
3804;Красноярский край;Боготольский район;Птицетоварной фермы;п;5618;8980
3805;Омская область;Колосовский район;Александровка;д;5621;7327
3806;Республика Алтай;Усть-Канский район;Усть-Мута;с;5123;8475
3807;Омская область;Тевризский район;Кип;с;5754;7184
3808;Новосибирская область;Карасукский район;Ягодный;п;5376;7801
3809;Новосибирская область;Маслянинский район;Дубровка;с;5446;8471
3810;Омская область;Горьковский район;Алексеевский;п;5553;7406
3811;Новосибирская область;Убинский район;Новоселово;с;5539;7929
3812;Томская область;Кожевниковский район;Киреевск;с;5636;8409
3813;Омская область;Крутинский район;Колодцы;д;5600;7093
3814;Алтайский край;Усть-Пристанский;Романово;с;5241;8336
3815;Иркутская область;Тулунский район;Едогон;с;5425;10024
3816;Иркутская область;Тулунский район;Красный Октябрь;д;5434;10069
3817;Красноярский край;Абанский район;Ношино;д;5660;9572
3818;Кемеровская область;Мариинский район;Обояновка;с;5635;8762
3819;Красноярский край;Енисейский район;Потапово;с;5843;9231
3820;Омская область;Тевризский район;Нагорно-Аевск;д;5739;7294
3821;Республика Тыва;Дзун-Хемчикский кожуун;Хорум-Даг;с;5128;9104
3822;Республика Алтай;Чемальский район;Узнезя;с;5152;8593
3823;Омская область;Любинский район;Смоляновка;д;5526;7253
3824;Иркутская область;Нукутский район;Новонукутский;п;5369;10270
3825;Алтайский край;Усть-Калманский;Кабаново;с;5204;8310
3826;Республика Алтай;Усть-Канский район;Озерное;с;5099;8476
3827;Алтайский край;Топчихинский;Покровка;с;5271;8338
3828;Алтайский край;Новичихинский;Веселая Дубрава;п;5226;8103
3829;Омская область;Таврический район;Прииртышье;с;5453;7409
3830;Алтайский край;Целинный;Воеводское;с;5279;8560
3831;Кемеровская область;Топкинский район;Левососновский;п;5521;8498
3832;Омская область;Черлакский район;Джартаргуль;с;5438;7557
3833;Иркутская область;Усть-Удинский район;Податовская;д;5387;10336
3834;Алтайский край;Поспелихинский;Поломошное;с;5181;8166
3835;Новосибирская область;Убинский район;Кирилловка;д;5511;7945
3836;Алтайский край;Смоленский;Александровка;с;5222;8504
3837;Красноярский край;Дзержинский район;Дзержинское;с;5682;9522
3838;Иркутская область;Братск;Братск;г;5615;10163
3839;Красноярский край;Манский район;Верхняя Есауловка;д;5567;9378
3840;Кемеровская область;Прокопьевский;Новостройка;п;5386;8649
3841;Иркутская область;Аларский район;Буркова;д;5302;10260
3842;Красноярский край;Уярский район;Авда;п;5573;9462
3843;Иркутская область;Тайшетский район;Бузыканово;с;5657;9838
3844;Красноярский край;Бирилюсский район;Новобирилюссы;с;5695;9068
3845;Красноярский край;Ирбейский район;Николаевка;д;5543;9520
3846;Республика Хакасия;Усть-Абаканский район;Ташеба;п;5367;9130
3847;Новосибирская область;Карасукский район;Свободный Труд;п;5366;7857
3848;Иркутская область;Балаганский район;Кумарейка;с;5447;10298
3849;Красноярский край;Енисейский район;Сым;с;6034;8836
3850;Алтайский край;Шелаболихинский;Батурово;с;5342;8239
3851;Новосибирская область;Колыванский район;Юрт-Акбалык;с;5565;8356
3852;Новосибирская область;Черепановский район;Майский;п;5418;8336
3853;Красноярский край;Козульский район;Лазурный;п;5615;9141
3854;Алтайский край;Тальменский;Шадринцево;с;5394;8396
3855;Кемеровская область;Яйский район;Сергеевка;д;5638;8635
3856;Красноярский край;Канский район;Малые Пруды;п;5610;9559
3857;Красноярский край;Ужурский район;Ашпан;с;5537;8956
3858;Красноярский край;Енисейский район;Шапкино;п;5787;9306
3859;Новосибирская область;Венгеровский район;Шипицыно;с;5607;7729
3860;Кемеровская область;Промышленновский район;Каменка;д;5483;8554
3861;Красноярский край;Абанский район;Устьянск;с;5652;9601
3862;Новосибирская область;Искитимский район;Бердь;д;5474;8318
3863;Красноярский край;Казачинский район;Мокрушинское;с;5751;9319
3864;Красноярский край;Шушенский район;Казанцево;с;5340;9200
3865;Новосибирская область;Тогучинский район;Усть-Каменка;с;5499;8384
3866;Красноярский край;Ужурский район;Красное Озеро;д;5534;8961
3867;Красноярский край;Идринский район;Зезезино;д;5456;9243
3868;Новосибирская область;Новосибирский район;Быково;с;5493;8329
3869;Алтайский край;Поспелихинский;Крутой Яр;п;5192;8174
3870;Новосибирская область;Карасукский район;Кучугур;п;5399;7821
3871;Омская область;Одесский район;Орехово;с;5398;7248
3872;Кемеровская область;Таштагольский район;Усть-Анзас;п;5305;8841
3873;Красноярский край;Сосновоборск;Сосновоборск;г;5612;9333
3874;Алтайский край;Табунский;Успенка;с;5292;7934
3875;Кемеровская область;Яшкинский район;Ботьево;д;5593;8523
3876;Омская область;Усть-Ишимский район;Ашеваны;д;5763;7119
3877;Омская область;Шербакульский район;Новоскатовка;д;5433;7228
3878;Красноярский край;Канский район;Любава;д;5638;9510
3879;Омская область;Тарский район;Атак;п;5680;7464
3880;Красноярский край;Назаровский район;Подсосное;с;5583;9100
3881;Алтайский край;Красногорский;Соусканиха;с;5256;8596
3882;Иркутская область;Братский район;Тынкобь;п;5541;10231
3883;Алтайский край;Ключевский;Покровка;с;5204;7936
3884;Красноярский край;Кежемский район;Кодинск;г;5860;9917
3885;Красноярский край;Канский район;Бошняково;п;5611;9533
3886;Новосибирская область;Северный район;Верх-Красноярка;с;5636;7792
3887;Красноярский край;Енисейский район;Каргино;с;5800;9297
3888;Иркутская область;Жигаловский район;Пономарево;д;5465;10522
3889;Алтайский край;Бийск;Нагорный;п;5255;8520
3890;Кемеровская область;Ленинск-Кузнецкий;Ленинск-Кузнецкий;г;5466;8616
3891;Алтайский край;Бурлинский;Бурла;с;5333;7832
3892;Томская область;Колпашевский район;Старокороткино;с;5804;8298
3893;Красноярский край;Канский район;Таежное;с;5625;9498
3894;Кемеровская область;Новокузнецкий;Сосновка;с;5366;8715
3895;Республика Тыва;Тандинский кожуун;Кочетово;с;5158;9410
3896;Алтайский край;Бийский;Ключи;с;5259;8564
3897;Алтайский край;Родинский;Ярославцев Лог;с;5226;8009
3898;Новосибирская область;Ордынский район;Поперечное;д;5458;8225
3899;Красноярский край;Иланский район;Соколовка;с;5642;9589
3900;Новосибирская область;Чистоозёрный район;Новокрасное;с;5433;7618
3901;Красноярский край;Краснотуранский район;Кортуз;с;5449;9170
3902;Томская область;Колпашевский район;Дальнее;п;5872;8293
3903;Алтайский край;Бийск;Бийск;г;5253;8521
3904;Иркутская область;Иркутский район;Коты;д;5255;10450
3905;Омская область;Марьяновский район;Боголюбовка;с;5480;7265
3906;Кемеровская область;Тяжинский район;Сандайка;с;5633;8846
3907;Красноярский край;Емельяновский район;Крутая;д;5623;9246
3908;Красноярский край;Шарыповский район;Малое Озеро;с;5512;8933
3909;Омская область;Москаленский район;Звездино;с;5496;7166
3910;Омская область;Марьяновский район;Уютное;д;5487;7242
3911;Красноярский край;Балахтинский район;Крюково;д;5535;9103
3912;Кемеровская область;Новокузнецкий;Кульчаны;п;5362;8725
3913;Красноярский край;Канский район;Малая Уря;д;5611;9543
3914;Омская область;Тюкалинский район;Нагибино;с;5576;7271
