id;region;municipality;settlement;type;latitude_dd;longitude_dd
257;Омская область;Москаленский район;Гольбштадт;д;5492;7191
258;Иркутская область;Заларинский район;Тунгуй;д;5356;10259
259;Омская область;Усть-Ишимский район;Усть-Ишим;с;5769;7116
260;Красноярский край;Минусинский район;им Крупской;п;5369;9195
261;Кемеровская область;Ленинск-Кузнецкий;Новогеоргиевка;д;5469;8632
262;Томская область;Томский район;Петрово;д;5653;8482
263;Иркутская область;Усольский район;Холмушино;с;5287;10331
264;Алтайский край;Смоленский;Заречный;п;5235;8490
265;Кемеровская область;Осинниковский;Осинники;г;5359;8733
266;Омская область;Саргатский район;Нижнеиртышское;с;5544;7325
267;Красноярский край;Нижнеингашский район;Соколовка;с;5637;9674
268;Новосибирская область;Искитимский район;Старый Искитим;с;5461;8339
269;Новосибирская область;Болотнинский район;Кунчурук;с;5591;8429
270;Красноярский край;Шарыповский район;Линево;д;5537;8908
271;Красноярский край;Богучанский район;Богучаны;с;5838;9744
272;Кемеровская область;Крапивинский район;Плотниковский;п;5501;8648
273;Иркутская область;Куйтунский район;Андрюшино;с;5436;10164
274;Омская область;Нижнеомский район;Хортицы;с;5558;7491
275;Иркутская область;Тулунский район;Никитаево;с;5463;10069
276;Томская область;Бакчарский район;Сухое;д;5711;8217
277;Алтайский край;Первомайский;Боровиха;с;5350;8384
278;Иркутская область;Братский район;Тэмь;с;5533;10073
279;Алтайский край;Усть-Пристанский;Усть-Журавлиха;с;5222;8339
280;Омская область;Кормиловский район;Рощинский;п;5510;7412
281;Красноярский край;Новосёловский район;Николаевка;д;5510;9076
282;Красноярский край;Рыбинский район;Урал;п;5590;9475
283;Новосибирская область;Коченёвский район;Буньково;д;5506;8248
284;Новосибирская область;Здвинский район;Михайловка;д;5456;7856
285;Кемеровская область;Мариинский район;Приметкино;с;5623;8791
286;Томская область;Кожевниковский район;Базой;с;5574;8336
287;Алтайский край;Крутихинский;Масляха;п;5405;8126
288;Алтайский край;Калманский;Калистратиха;с;5298;8358
289;Томская область;Бакчарский район;Богатырёвка;с;5698;8174
290;Томская область;Молчановский район;Соколовка;с;5749;8382
291;Новосибирская область;Искитимский район;Мосты;с;5476;8385
292;Красноярский край;Манский район;Кускун;д;5595;9358
293;Новосибирская область;Колыванский район;Южино;д;5549;8251
294;Иркутская область;Аларский район;Нарены;д;5322;10280
295;Новосибирская область;Карасукский район;Осиновка;п;5369;7765
296;Красноярский край;Енисейский район;Плотбище;с;5844;9194
297;Новосибирская область;Черепановский район;Дорогина Заимка;с;5434;8318
298;Иркутская область;Боханский район;Новый Алендарь;д;5310;10367
299;Красноярский край;Канский район;Бражное;с;5606;9586
300;Красноярский край;Дзержинский район;Топол;д;5694;9511
301;Иркутская область;Баяндаевский район;Баяндай;с;5305;10550
302;Новосибирская область;Купинский район;Новоказарино;д;5437;7782
303;Алтайский край;Каменский;Гонохово;с;5364;8155
304;Алтайский край;Каменский;Ветренно-Телеутское;с;5345;8117
305;Новосибирская область;Барабинский район;Дунаевка;п;5521;7822
306;Новосибирская область;Карасукский район;Озерное-Титово;п;5375;7799
307;Республика Алтай;Кош-Агачский район;Курай;с;5023;8793
308;Томская область;Томский район;Карбышево;д;5648;8445
309;Томская область;Томский район;Тахтамышево;с;5637;8488
310;Кемеровская область;Ленинск-Кузнецкий;Восходящий;п;5468;8607
311;Красноярский край;Тасеевский район;Караульное;с;5708;9474
312;Новосибирская область;Болотнинский район;Чахлово;д;5561;8422
313;Томская область;Колпашевский район;Колпашево;г;5831;8290
314;Кемеровская область;Тяжинский район;Борисоглебское;с;5619;8863
315;Республика Алтай;Усть-Канский район;Каракол;с;5129;8458
316;Омская область;Черлакский район;Подлесное;д;5435;7467
317;Республика Хакасия;Боградский район;Советская Хакасия;с;5411;9143
318;Республика Алтай;Улаганский район;Балыктуюль;с;5075;8803
319;Новосибирская область;Колыванский район;Скала;с;5537;8277
320;Алтайский край;Родинский;Шаталовка;с;5240;7996
321;Кемеровская область;Юргинский;Макурино;д;5603;8466
322;Иркутская область;Братский район;Добчур;п;5534;10114
323;Кемеровская область;Таштагольский район;Мрассу;п;5229;8851
324;Омская область;Большеуковский район;Фирстово;с;5703;7288
325;Алтайский край;Мамонтовский;Мамонтово;с;5270;8162
326;Красноярский край;Дзержинский район;Шеломки;с;5680;9486
327;Алтайский край;Рубцовский;Катково;с;5165;8145
328;Новосибирская область;Колыванский район;Вьюны;с;5552;8292
329;Иркутская область;Усольский район;Кочерикова;д;5294;10341
330;Кемеровская область;Гурьевский район;Маслиха;д;5443;8536
331;Новосибирская область;Краснозерский район;Половинное;с;5375;7924
332;Кемеровская область;Кемеровский;Черемушки;п;5561;8591
333;Иркутская область;Качугский район;Шеина;д;5409;10612
